Imagem_Original,Imagem_Resultado,TAG_Lida,Tipo,Classe,Status
0.jpg,resultado_0.jpg,FAIL OPEN,Não cadastrado,Não cadastrado,Desconhecido
0.jpg,resultado_0.jpg,FAIL CLOSE,Não cadastrado,Não cadastrado,Desconhecido
0.jpg,resultado_0.jpg,(OR),Não cadastrado,Não cadastrado,Desconhecido
0.jpg,resultado_0.jpg,FO,Fail Open,Falha de Válvula,Identificado
0.jpg,resultado_0.jpg,FC,Fail Close,Falha de Válvula,Identificado
0.jpg,resultado_0.jpg,FAIL LOCKED,Não cadastrado,Não cadastrado,Desconhecido
0.jpg,resultado_0.jpg,FAIL INDETERNINE,Não cadastrado,Não cadastrado,Desconhecido
0.jpg,resultado_0.jpg,FL,Fail Locked,Falha de Válvula,Identificado
0.jpg,resultado_0.jpg,CHEMICALERGINEE [NGWORD COM,Não cadastrado,Não cadastrado,Desconhecido
0.jpg,resultado_0.jpg,FAIL LASTIDRIFT OPEN,Não cadastrado,Não cadastrado,Desconhecido
0.jpg,resultado_0.jpg,FAIL LASTIDRIFT CLOSE,Não cadastrado,Não cadastrado,Desconhecido
0.jpg,resultado_0.jpg,FLIDO,Não cadastrado,Não cadastrado,Desconhecido
0.jpg,resultado_0.jpg,FLIDC,Não cadastrado,Não cadastrado,Desconhecido
0.jpg,resultado_0.jpg,LID,Não cadastrado,Não cadastrado,Desconhecido
0.jpg,resultado_0.jpg,FAIL LAST/DRIFT OPEN,Não cadastrado,Não cadastrado,Desconhecido
0.jpg,resultado_0.jpg,FAIL LASTLDRIFT OPEN,Não cadastrado,Não cadastrado,Desconhecido
0.jpg,resultado_0.jpg,NGWORD COM,Não cadastrado,Não cadastrado,Desconhecido
0.jpg,resultado_0.jpg,CHEMICALER,Não cadastrado,Não cadastrado,Desconhecido
0.jpg,resultado_0.jpg,OC,Não cadastrado,Não cadastrado,Desconhecido
0.jpg,resultado_0.jpg,PE,Não cadastrado,Não cadastrado,Desconhecido
resultado_0.jpg,resultado_resultado_0.jpg,OBJ,Não cadastrado,Não cadastrado,Desconhecido
resultado_0.jpg,resultado_resultado_0.jpg,38BJ FAIL,Não cadastrado,Não cadastrado,Desconhecido
resultado_0.jpg,resultado_resultado_0.jpg,PE,Não cadastrado,Não cadastrado,Desconhecido
resultado_0.jpg,resultado_resultado_0.jpg,OBJ 38,Não cadastrado,Não cadastrado,Desconhecido
resultado_0.jpg,resultado_resultado_0.jpg,FAIL CLOSE,Não cadastrado,Não cadastrado,Desconhecido
resultado_0.jpg,resultado_resultado_0.jpg,(OR),Não cadastrado,Não cadastrado,Desconhecido
resultado_0.jpg,resultado_resultado_0.jpg,FO,Fail Open,Falha de Válvula,Identificado
resultado_0.jpg,resultado_resultado_0.jpg,FC,Fail Close,Falha de Válvula,Identificado
resultado_0.jpg,resultado_resultado_0.jpg,OBJ 2OBJ',Não cadastrado,Não cadastrado,Desconhecido
resultado_0.jpg,resultado_resultado_0.jpg,FAIL LOCKED,Não cadastrado,Não cadastrado,Desconhecido
